Inicio log nanducho cargue archivo compras 2018-06-28 17:06:44 -0500
2018-04-08,F-000-0126,PVGWWPA,9.00. Linea 126> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0127,PVGWWFL,33.00. Linea 127> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0128,PVGWWEL,44.00. Linea 128> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0129,PVGWWWE,85.00. Linea 129> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0130,PVGWWZA,7.00. Linea 130> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0131,PVUWWSZL,2.00. Linea 131> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0132,PVGWWWE,125.00. Linea 132> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0133,PVGWWBE,78.90. Linea 133> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0134,PVUWWSLL,5.00. Linea 134> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0135,PVUWWWP,6.00. Linea 135> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0136,PVUWWSP,5.00. Linea 136> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0137,PVUWWSWL,7.00. Linea 137> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0138,PVUWWSG,21.00. Linea 138> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0139,PVUWWEP,18.00. Linea 139> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0140,PVGWWBZ,11.00. Linea 140> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0141,PVGWWAL,1.00. Linea 141> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0142,PVGWWEA,2.00. Linea 142> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0143,PVGWWES,6.00. Linea 143> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0144,PVGWWSZ,8.00. Linea 144> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0145,PVGWWZE,22.00. Linea 145> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0146,PVGWWZA,29.40. Linea 146> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0147,PVUWSEWBFL,1.00. Linea 147> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0148,PVGWWZL,78.00. Linea 148> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0149,PVGWWWE,95.70. Linea 149> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0150,PVUWWWB,23.00. Linea 150> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0151,PVUWWWWL,38.00. Linea 151> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0152,PVGWWWZ,60.00. Linea 152> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0153,PVUWWBB,10.00. Linea 153> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0154,PVGWWSA,47.00. Linea 154> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0155,PVGWWWE,11.00. Linea 155> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0156,PVUWWWP,18.00. Linea 156> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0157,PVUWWBF,22.00. Linea 157> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0158,PVUWWSG,29.00. Linea 158> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0159,PVUWWEF,40.00. Linea 159> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0160,PVUWWWG,28.00. Linea 160> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0161,PVGWWWE,1.00. Linea 161> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0162,PVUWWSWL,26.00. Linea 162> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0163,PVUWWWF,45.00. Linea 163> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0164,PVUWWSB,7.00. Linea 164> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0165,PVGWWBZ,91.20. Linea 165> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0166,PVGWWWA,84.00. Linea 166> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0167,PVUWWSFL,4.00. Linea 167> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0168,PVUWWWEL,4.00. Linea 168> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0169,PVGWWFE,191.40. Linea 169> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0170,PVGWWBE,26.60. Linea 170> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0171,PVUWWSZL,24.00. Linea 171> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0172,PVUWWWZL,29.00. Linea 172> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0173,PVUWWSAL,20.00. Linea 173> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0174,PVUWWWSL,24.00. Linea 174> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0175,PVUWWWB,9.00. Linea 175> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0176,PVGWWGE,77.50. Linea 176> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0177,PVGWWSE,468.30. Linea 177> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0178,PVGWWBE,85.60. Linea 178> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0179,PVGWWWE,1163.80. Linea 179> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0180,PVGWWPZ,534.90. Linea 180> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0181,PVGWWSA,76.10. Linea 181> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0182,PVGWWGA,79.10. Linea 182> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0183,PVGWWPE,43.60. Linea 183> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0184,PVGWWPL,629.90. Linea 184> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0185,PVGWWFZ,940.00. Linea 185> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0186,PVUWWWZZ,13.00. Linea 186> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0187,PVUWWWB,34.00. Linea 187> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0188,PVUWWWP,2.00. Linea 188> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0189,PVGWWZZ,116.80. Linea 189> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0190,PVGWWEZ,205.00. Linea 190> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0191,PVUWWWWL,63.00. Linea 191> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0192,PVUWWSB,11.00. Linea 192> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0193,PVGWWSZ,727.30. Linea 193> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0194,PVUWWWBL,6.00. Linea 194> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0195,PVGWWGZ,399.70. Linea 195> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0196,PVGWWLE,256.80. Linea 196> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0197,PVGWWBZ,523.00. Linea 197> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0198,PVGWWZE,754.40. Linea 198> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0199,PVGWWEE,588.10. Linea 199> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0200,PVGWWZA,19.00. Linea 200> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0201,PVGWWLE,1267.60. Linea 201> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0202,PVUWWWF,44.00. Linea 202> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0203,PVGWWAE,110.70. Linea 203> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0204,PVGWWSZ,23.30. Linea 204> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0205,PVUWWSS,11.00. Linea 205> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0206,PVUWWSF,2.00. Linea 206> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0207,PVUWWWZZ,11.00. Linea 207> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0208,PVUWWWPZ,5.00. Linea 208> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0209,PVGWWWS,7.00. Linea 209> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0210,PVUWWWEL,10.00. Linea 210> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0211,PVUWWSP,15.00. Linea 211> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0212,PVUWWWGZ,5.00. Linea 212> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0213,PVUWWWLL,13.00. Linea 213> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0214,PVUWWWBL,11.00. Linea 214> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0215,PVUWWWAL,5.00. Linea 215> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0216,PVUWWWGL,2.00. Linea 216> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0217,AVUWWWL,55.00. Linea 217> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0218,AVUWWWS,20.00. Linea 218> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0219,AVUWWWE,49.00. Linea 219> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0220,AVUWWSL,19.00. Linea 220> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0221,AVUWWZE,1.00. Linea 221> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0222,AVUWWSS,3.00. Linea 222> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0223,AVUWWWZ,18.00. Linea 223> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0224,AVUWWWA,4.00. Linea 224> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0225,AVUWWWB,3.00. Linea 225> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0226,AVUWWSA,302.60. Linea 226> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0227,AVUWWWE,306.10. Linea 227> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0228,AVUWWZZ,368.70. Linea 228> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0229,AVUWWLZ,192.10. Linea 229> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0230,AVUWWSZ,57.80. Linea 230> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0231,AVUWWPE,219.90. Linea 231> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0232,PVUWSSEEGE,1.00. Linea 232> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0233,AVUWWPE,24.80. Linea 233> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0234,AVUWWAWE,1.00. Linea 234> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0235,AVUWWPE,210.70. Linea 235> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0236,AVUWWSA,116.60. Linea 236> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0237,PVGWWSA,291.00. Linea 237> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0238,PVGWWPE,276.10. Linea 238> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0239,PVGWSFE,35.00. Linea 239> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0240,PVUWWABGL,1.00. Linea 240> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0241,PVUWWWLL,101.00. Linea 241> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0242,PVUWWSEL,100.00. Linea 242> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0243,PVGWWGE,47.50. Linea 243> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0244,PVGWWPL,212.40. Linea 244> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0245,PVGWWWE,163.70. Linea 245> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0246,PVGWWPL,398.40. Linea 246> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0247,PVGWWLZ,190.50. Linea 247> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0248,PVGWWEE,755.90. Linea 248> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0249,PVGWSGZ,307.10. Linea 249> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0250,PVGWWSE,267.20. Linea 250> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0251,PVGWWWE,277.50. Linea 251> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0252,PVUWWBFZG,1.00. Linea 252> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0253,PVGWWSZ,1285.00. Linea 253> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0254,PVGWWEA,452.20. Linea 254> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0255,PVGWWFE,76.90. Linea 255> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0256,PVGWWAE,435.60. Linea 256> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0257,PVGWSSE,1349.30. Linea 257> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0258,PVGWWLE,101.10. Linea 258> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0259,PVGWWBE,23.60. Linea 259> compras ok| kardex ok| inventario actualizado ok
