Inicio log nanducho cargue archivo compras 2017-10-04 16:05:04 -0500
27/07/2017,FACT2000-0106,PVGWWWA,1.8. Linea 106> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0107,PVUWWFBE,1. Linea 107> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0108,PVGWWLE,9.2. Linea 108> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0109,PVGWWLZ,61.2. Linea 109> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0110,PVGWWSL,23.8. Linea 110> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0111,PVGWWPL,61.9. Linea 111> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0112,PVGWWSZ,67.5. Linea 112> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0113,PVGWWZZ,241.8. Linea 113> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0114,PVGWWWZ,160.2. Linea 114> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0115,PVGWWEE,26.1. Linea 115> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0116,PVGWWWE,27.2. Linea 116> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0117,PVGWSPL,105.9. Linea 117> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0118,PVGWSBL,19.5. Linea 118> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0119,PVGWWWZ,289.6. Linea 119> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0120,PVUWWWLL,307. Linea 120> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0121,PVUWWSLL,222. Linea 121> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0122,PVUWWASGB,1. Linea 122> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0123,PVUWWWAL,20. Linea 123> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0124,PVUWWSSL,7. Linea 124> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0125,PVUWWWBE,4. Linea 125> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0126,PVUWWWWL,5. Linea 126> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0127,PVUWWSEL,22. Linea 127> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0128,PVUWWWZL,10. Linea 128> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0129,PVGWSEE,41.6. Linea 129> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0130,PVUWWWEL,20. Linea 130> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0131,PVUWWZLL,6. Linea 131> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0132,PVUWWSAL,2. Linea 132> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0133,PVGWWZZ,31. Linea 133> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0134,PVGWWWE,85.2. Linea 134> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0135,PVGWWZE,37.7. Linea 135> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0136,PVGWWEE,261.8. Linea 136> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0137,PVGWWAE,132. Linea 137> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0138,PVGWWSE,129.5. Linea 138> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0139,PVGWWWA,19.3. Linea 139> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0140,PVGWWLA,16.2. Linea 140> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0141,PVGWWPE,218.6. Linea 141> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0142,PVGWWSA,15.4. Linea 142> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0143,PVGWWFE,105.8. Linea 143> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0144,PVGWWZA,50.6. Linea 144> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0145,PVUWWWLL,22. Linea 145> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0146,PVUWWZG,2. Linea 146> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0147,PVUWWWPZ,3. Linea 147> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0148,PVUWWWWZ,1. Linea 148> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0149,PVUWWWBZ,8. Linea 149> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0150,PVUWWWWE,4. Linea 150> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0151,PVUWWSLL,19. Linea 151> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0152,PVUWWSG,20. Linea 152> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0153,PVUWWWG,41. Linea 153> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0154,PVUWWWF,2. Linea 154> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0155,PVUWWWP,5. Linea 155> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0156,PVUWWWLL,23. Linea 156> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0157,PVUWWWWL,31. Linea 157> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0158,PVUWWWS,20. Linea 158> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0159,PVUWWSF,30. Linea 159> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0160,PVGWSBL,697.7. Linea 160> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0161,PVUWWSB,5. Linea 161> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0162,PVUWWWSL,10. Linea 162> compras ok| kardex ok| inventario creado ok
